t,S,I,R
  0,120000000,    1,    0
  1,120000000,    1,    0
  2,120000000,    2,    0
  3,120000000,    2,    1
  4,120000000,    3,    1
  5,120000000,    3,    1
  6,120000000,    4,    2
  7,120000000,    6,    2
  8,120000000,    7,    3
  9,120000000,    9,    4
 10,119999992,   12,    6
 11,119999984,   16,    7
 12,119999976,   20,   10
 13,119999968,   26,   12
 14,119999960,   33,   16
 15,119999944,   43,   21
 16,119999928,   55,   27
 17,119999904,   70,   35
 18,119999872,   90,   45
 19,119999832,  116,   57
 20,119999784,  148,   74
 21,119999720,  191,   95
 22,119999640,  245,  122
 23,119999536,  314,  157
 24,119999400,  403,  201
 25,119999232,  518,  258
 26,119999008,  665,  332
 27,119998728,  854,  426
 28,119998368, 1096,  548
 29,119997904, 1408,  703
 30,119997304, 1808,  903
 31,119996536, 2321, 1160
 32,119995544, 2980, 1490
 33,119994272, 3827, 1913
 34,119992640, 4913, 2456
 35,119990544, 6308, 3154
 36,119987856, 8100, 4050
 37,119984408,10400, 5200
 38,119979976,13353, 6677
 39,119974288,17144, 8573
 40,119966984,22012,11008
 41,119957608,28260,14133
 42,119945576,36281,18146
 43,119930128,46576,23298
 44,119910304,59790,29911
 45,119884856,76747,38400
 46,119852200,98504,49297
 47,119810304,126414,63282
 48,119756560,162208,81227
 49,119687648,208099,104252
 50,119599304,266906,133788
 51,119486112,342225,171664
 52,119341160,438623,220219
 53,119155680,561885,282434
 54,118918576,719313,362107
 55,118615856,920077,464060
 56,118229976,1175615,594400
 57,117739088,1500080,760825
 58,117116208,1910782,973000
 59,116328424,2428594,1242969
 60,115336168,3078192,1585623
 61,114092816,3887992,2019174
 62,112544856,4889534,2565593
 63,110633048,6116021,3250917
 64,108295024,7599656,4105306
 65,105469848,9367465,5162674
 66,102104792,11435498,6459698
 67,98164248,13801731,8034005
 68,93639840,16438686,9921455
 69,88559840,19287584,12152560
 70,82995192,22256398,14748396
 71,77059408,25223940,17716636
 72,70900640,28050824,21048520
 73,64686544,30595874,24717564
 74,58585076,32734418,28680486
 75,52745832,34373856,32880290
 76,47286212,35462836,37250928
 77,42284744,35992604,41722624
 78,37781492,35991568,46226912
 79,33783576,35515692,50700704
 80,30273292,34637612,55089068
 81,27216576,33436732,59346664
 82,24570360,31991526,63438088
 83,22288216,30374356,67337400
 84,20324232,28648568,71027168
 85,18635380,26867338,74497248
 86,17182744,25073720,77743504
 87,15931984,23301402,80766584
 88,14853311,21575840,83570816
 89,13921180,19915516,86163272
 90,13113856,18333160,88552952
 91,12412938,16836876,90750152
 92,11802890,15431130,92765944
 93,11270611,14117576,94611776
 94,10805053,12895749,96299160
 95,10396889,11763623,97839448
 96,10038232,10718057,99243672
 97,9722401,9755152,100522408
 98,9443718,8870522,101685720
 99,9197348,8059508,102743104
100,8979158,7317338,103703464
101,8785609,6639244,104575104
102,8613657,6020554,105365744
103,8460679,5456750,106082528
104,8324406,4943512,106732040
105,8202871,4476746,107320344
106,8094362,4052596,107853000
107,7997387,3667456,108335112
108,7910643,3317967,108771344
109,7832985,3001012,109165960
110,7763411,2713711,109522832
111,7701036,2453409,109845512
112,7645081,2217666,110137208
113,7594857,2004243,110400856
114,7549753,1811090,110639112
115,7509229,1636332,110854392
116,7472805,1478260,111048888
117,7440053,1335314,111224584
118,7410593,1206073,111383288
119,7384085,1089246,111526624
120,7360228,983658,111656072
121,7338751,888243,111772968
122,7319411,802032,111878520
123,7301992,724147,111973824
124,7286301,653791,112059872
125,7272164,590243,112137560
126,7259425,532850,112207696
127,7247944,481020,112271008
128,7237596,434216,112328160
129,7228267,391954,112379752
130,7219856,353796,112426320
131,7212273,319344,112468352
132,7205435,288241,112506296
133,7199269,260162,112540544
134,7193708,234814,112571456
135,7188693,211932,112599352
136,7184169,191277,112624528
137,7180089,172633,112647256
138,7176408,155804,112667768
139,7173088,140614,112686280
140,7170093,126904,112702984
141,7167391,114530,112718064
142,7164954,103361,112731672
143,7162755,93281,112743952
144,7160771,84183,112755032
145,7158981,75972,112765032
146,7157366,68562,112774056
147,7155908,61874,112782200
148,7154593,55839,112789552
149,7153407,50391,112796184
150,7152336,45476,112802168
151,7151370,41039,112807568
152,7150499,37035,112812440
153,7149712,33422,112816840
154,7149003,30161,112820808
155,7148362,27218,112824392
156,7147784,24563,112827624
157,7147263,22166,112830544
158,7146792,20003,112833176
159,7146368,18052,112835552
160,7145985,16290,112837696
161,7145639,14701,112839632
162,7145327,13266,112841376
163,7145046,11972,112842952
164,7144792,10804,112844376
165,7144563, 9749,112845656
166,7144356, 8798,112846816
167,7144169, 7940,112847864
168,7144001, 7165,112848808
169,7143849, 6466,112849656
170,7143712, 5835,112850424
171,7143588, 5265,112851120
172,7143476, 4752,112851744
173,7143375, 4288,112852312
174,7143284, 3870,112852824
175,7143202, 3492,112853280
176,7143128, 3151,112853696
177,7143061, 2844,112854072
178,7143001, 2566,112854408
179,7142946, 2316,112854712
180,7142897, 2090,112854984
181,7142853, 1886,112855232
182,7142813, 1702,112855456
183,7142777, 1536,112855656
184,7142744, 1386,112855840
185,7142715, 1251,112856008
186,7142688, 1129,112856160
187,7142664, 1018,112856296
188,7142643,  919,112856416
189,7142623,  829,112856528
190,7142606,  748,112856624
191,7142590,  675,112856712
192,7142575,  610,112856792
